request id,send time,request length, recieved time,completed time
R[0],26923.914657,0.041792,26923.914703,26923.914704
R[1],26924.098071,0.133472,26924.098206,26924.133500
R[2],26924.250986,0.018341,26924.251090,26924.251091
R[3],26924.493693,0.121834,26924.493843,26924.493844
R[4],26924.534613,0.067281,26924.534696,26924.534696
R[5],26924.567193,0.082600,26924.567295,26924.567296
R[6],26924.632139,0.060026,26924.632254,26924.632255
R[7],26924.677576,0.206605,26924.677664,26924.677665
R[8],26924.981757,0.105280,26924.981864,26924.981864
R[9],26925.082797,0.077822,26925.082941,26925.082942
R[10],26925.098164,0.023187,26925.098283,26925.098284
R[11],26925.099853,0.135879,26925.099957,26925.135907
R[12],26925.114660,0.042700,26925.135977,26925.135978
R[13],26925.131714,0.009600,26925.135995,26925.135997
R[14],26925.145626,0.020519,26925.145787,26925.145789
R[15],26925.829205,0.152254,26925.829389,26925.829391
R[16],26925.901246,0.029252,26925.901314,26925.901314
R[17],26925.996146,0.061912,26925.996328,26925.996330
R[18],26926.097730,0.300302,26926.097828,26926.300329
R[19],26926.165815,0.122966,26926.300367,26926.300368
R[20],26926.200441,0.122442,26926.300380,26926.300381
R[21],26926.275275,0.185106,26926.300392,26926.300392
R[22],26926.326440,0.036214,26926.326526,26926.326527
R[23],26926.359786,0.209469,26926.359862,26926.359863
R[24],26926.524706,0.248530,26926.524870,26926.524872
R[25],26926.532025,0.007499,26926.532168,26926.532169
R[26],26926.606754,0.090695,26926.606871,26926.606872
R[27],26926.628158,0.035757,26926.628242,26926.628242
R[28],26926.849137,0.001686,26926.849249,26926.849249
R[29],26926.855823,0.005431,26926.855898,26926.855899
R[30],26926.917050,0.293994,26926.917209,26926.917210
R[31],26926.944344,0.158606,26926.944457,26926.944458
R[32],26927.176893,0.064667,26927.177039,26927.177040
R[33],26927.207986,0.119013,26927.208113,26927.208114
R[34],26927.255087,0.091816,26927.255183,26927.255184
R[35],26927.326988,0.003339,26927.327144,26927.327145
R[36],26927.402914,0.223819,26927.403056,26927.403057
R[37],26927.460549,0.106364,26927.460710,26927.460711
R[38],26927.727725,0.111788,26927.727856,26927.727856
R[39],26927.761237,0.036419,26927.761322,26927.761323
R[40],26927.863436,0.015124,26927.863554,26927.863555
R[41],26927.979934,0.176741,26927.980116,26927.980118
R[42],26928.038041,0.033415,26928.038196,26928.038198
R[43],26928.214849,0.186534,26928.214994,26928.214995
R[44],26928.240935,0.096708,26928.241119,26928.241120
R[45],26928.284170,0.074024,26928.284317,26928.284318
R[46],26928.597676,0.163059,26928.597805,26928.597806
R[47],26928.704845,0.214719,26928.705006,26928.705008
R[48],26928.762841,0.140512,26928.762952,26928.762953
R[49],26928.813720,0.201567,26928.813800,26928.813801
R[50],26928.929051,0.020260,26928.929155,26928.929156
R[51],26928.994975,0.210611,26928.995093,26928.995094
R[52],26929.295108,0.177430,26929.295279,26929.295281
R[53],26929.311175,0.047129,26929.311282,26929.311284
