id,timestamp,length,recieved,completed
R0:0.000000,0.000000,36375.243108,36375.243113,36375.243114
R0:36375.242940,0.033434,36375.373988,36375.373995,36375.407431
R1:36375.373950,0.106778,36375.483164,36375.483173,36375.589952
R2:36375.483136,0.014672,36375.656511,36375.656520,36375.671194
R3:36375.656471,0.097467,36375.755313,36375.685707,36375.783175
R4:36375.685653,0.053825,36375.787741,36375.783208,36375.837033
R5:36375.708913,0.066080,36375.787741,36375.837058,36375.903139
R6:36375.755279,0.048021,36375.787741,36375.903160,36375.951182
R7:36375.787709,0.165284,36376.121947,36376.005013,36376.170299
R8:36376.004964,0.084224,36376.121947,36376.170324,36376.254549
R9:36376.077115,0.062258,36376.121947,36376.254568,36376.316826
R10:36376.088044,0.018549,36376.121947,36376.316847,36376.335397
R11:36376.089233,0.108703,36376.121947,36376.335425,36376.444129
R12:36376.099789,0.034160,36376.121947,36376.444147,36376.478307
R13:36376.111975,0.007680,36376.121947,36376.478322,36376.486003
R14:36376.121918,0.016415,36376.610192,36376.610202,36376.626618
R15:36376.610145,0.121803,36376.729354,36376.661594,36376.783398
R16:36376.661551,0.023401,36376.801858,36376.783421,36376.806824
R17:36376.729310,0.049529,36376.850475,36376.806845,36376.856375
R18:36376.801823,0.240241,36376.989004,36376.856394,36377.096636
R19:36376.850442,0.098373,36377.180573,36377.096659,36377.195033
R20:36376.875175,0.097953,36377.180573,36377.195055,36377.293009
R21:36376.928628,0.148085,36377.406339,36377.293027,36377.441113
R22:36376.965162,0.028971,36377.406339,36377.441135,36377.470108
R23:36376.988972,0.167576,36377.628210,36377.470122,36377.637699
R24:36377.106760,0.198824,36377.774871,36377.637724,36377.836549
R25:36377.111944,0.005999,36377.774871,36377.836572,36377.842571
R26:36377.165281,0.072556,36377.774871,36377.842589,36377.915147
R27:36377.180543,0.028605,36377.774871,36377.915169,36377.943776
R28:36377.338371,0.001348,36377.774871,36377.943794,36377.945144
R29:36377.343128,0.004345,36377.774871,36377.945157,36377.949503
R30:36377.386852,0.235195,36378.145743,36377.949516,36378.184711
R31:36377.406308,0.126885,36378.187185,36378.184733,36378.311619
R32:36377.572388,0.051734,36378.362854,36378.311643,36378.363377
R33:36377.594565,0.095210,36378.362854,36378.363396,36378.458607
R34:36377.628174,0.073453,36378.362854,36378.458629,36378.532083
R35:36377.679513,0.002672,36378.362854,36378.532103,36378.534776
R36:36377.733704,0.179055,36378.704643,36378.534790,36378.713846
R37:36377.774836,0.085092,36378.740948,36378.713865,36378.798958
R38:36377.965630,0.089430,36378.870370,36378.798990,36378.888421
R39:36377.989543,0.029135,36378.870370,36378.888447,36378.917583
R40:36378.062529,0.012099,36378.870370,36378.917601,36378.929701
R41:36378.145710,0.141393,36378.870370,36378.929718,36379.071111
R42:36378.187155,0.026732,36379.096173,36379.071129,36379.097862
R43:36378.313404,0.149228,36379.238432,36379.097997,36379.247225
R44:36378.331995,0.077367,36379.238432,36379.247252,36379.324620
R45:36378.362820,0.059219,36379.348577,36379.324636,36379.383856
R46:36378.586710,0.130447,36379.484924,36379.383874,36379.514322
R47:36378.663224,0.171775,36379.533803,36379.514344,36379.686120
R48:36378.704598,0.112409,36379.533803,36379.686147,36379.798557
R49:36378.740915,0.161254,36379.915030,36379.798578,36379.959833
R50:36378.823266,0.016208,36379.915030,36379.959856,36379.976065
R51:36378.870336,0.168489,36380.141500,36379.976081,36380.144571
R52:36379.084707,0.141944,36380.273435,36380.144615,36380.286559
R53:36379.096141,0.037703,36380.273435,36380.286592,36380.324297
R54:36379.169345,0.021998,36380.273435,36380.324313,36380.346313
R55:36379.238398,0.024492,36380.349781,36380.346330,36380.370824
R56:36379.348543,0.017088,36380.349781,36380.370840,36380.387928
R57:36379.390879,0.021553,36380.349781,36380.387948,36380.409501
R58:36379.405728,0.035914,36380.429685,36380.409517,36380.445432
R59:36379.463809,0.158203,36380.596245,36380.445448,36380.603653
R60:36379.477101,0.008984,36380.596245,36380.603679,36380.612664
R61:36379.484893,0.095273,36380.596245,36380.612680,36380.707954
R62:36379.533769,0.182229,36380.596245,36380.707978,36380.890208
R63:36379.832593,0.032213,36380.596245,36380.890244,36380.922457
R64:36379.915001,0.030661,36380.596245,36380.922489,36380.953151
R65:36380.013976,0.017620,36380.596245,36380.953168,36380.970789
